secid,date,symbol,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,ticker,index_flag,issuer,div_convention,exercise_style,am_settlement,am_set_flag
108105,2020-01-03,SYN100019,2020-02-02,2020-01-03,P,3545390,41.16,42.84,10,100,0.20500000000000002,-0.75,0.01,1.0,-0.02,100019,100,0,3208,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100020,2020-02-05,2020-01-06,C,2924430,39.2,40.8,10,100,0.20500000000000002,0.75,0.01,1.0,-0.02,100020,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100021,2020-02-05,2020-01-06,C,3074370,34.3,35.7,10,100,0.2025,0.625,0.01,1.0,-0.02,100021,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100022,2020-02-05,2020-01-06,C,3232000,29.4,30.6,10,100,0.2,0.5,0.01,1.0,-0.02,100022,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100023,2020-02-05,2020-01-06,C,3397710,34.3,35.7,10,100,0.2025,0.375,0.01,1.0,-0.02,100023,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100024,2020-02-05,2020-01-06,C,3571910,39.2,40.8,10,100,0.20500000000000002,0.25,0.01,1.0,-0.02,100024,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100025,2020-02-05,2020-01-06,P,2924430,41.16,42.84,10,100,0.20500000000000002,-0.25,0.01,1.0,-0.02,100025,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100026,2020-02-05,2020-01-06,P,3074370,36.26,37.74,10,100,0.2025,-0.375,0.01,1.0,-0.02,100026,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100027,2020-02-05,2020-01-06,P,3232000,31.36,32.64,10,100,0.2,-0.5,0.01,1.0,-0.02,100027,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100028,2020-02-05,2020-01-06,P,3397710,36.26,37.74,10,100,0.2025,-0.625,0.01,1.0,-0.02,100028,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-06,SYN100029,2020-02-05,2020-01-06,P,3571910,41.16,42.84,10,100,0.20500000000000002,-0.75,0.01,1.0,-0.02,100029,100,0,3232,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100030,2020-02-06,2020-01-07,C,2931670,39.2,40.8,10,100,0.20500000000000002,0.75,0.01,1.0,-0.02,100030,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100031,2020-02-06,2020-01-07,C,3081980,34.3,35.7,10,100,0.2025,0.625,0.01,1.0,-0.02,100031,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100032,2020-02-06,2020-01-07,C,3240000,29.4,30.6,10,100,0.2,0.5,0.01,1.0,-0.02,100032,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100033,2020-02-06,2020-01-07,C,3406120,34.3,35.7,10,100,0.2025,0.375,0.01,1.0,-0.02,100033,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100034,2020-02-06,2020-01-07,C,3580750,39.2,40.8,10,100,0.20500000000000002,0.25,0.01,1.0,-0.02,100034,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100035,2020-02-06,2020-01-07,P,2931670,41.16,42.84,10,100,0.20500000000000002,-0.25,0.01,1.0,-0.02,100035,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100036,2020-02-06,2020-01-07,P,3081980,36.26,37.74,10,100,0.2025,-0.375,0.01,1.0,-0.02,100036,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100037,2020-02-06,2020-01-07,P,3240000,31.36,32.64,10,100,0.2,-0.5,0.01,1.0,-0.02,100037,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100038,2020-02-06,2020-01-07,P,3406120,36.26,37.74,10,100,0.2025,-0.625,0.01,1.0,-0.02,100038,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-07,SYN100039,2020-02-06,2020-01-07,P,3580750,41.16,42.84,10,100,0.20500000000000002,-0.75,0.01,1.0,-0.02,100039,100,0,3240,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100040,2020-02-07,2020-01-08,C,2938910,39.2,40.8,10,100,0.20500000000000002,0.75,0.01,1.0,-0.02,100040,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100041,2020-02-07,2020-01-08,C,3089590,34.3,35.7,10,100,0.2025,0.625,0.01,1.0,-0.02,100041,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100042,2020-02-07,2020-01-08,C,3248000,29.4,30.6,10,100,0.2,0.5,0.01,1.0,-0.02,100042,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100043,2020-02-07,2020-01-08,C,3414530,34.3,35.7,10,100,0.2025,0.375,0.01,1.0,-0.02,100043,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100044,2020-02-07,2020-01-08,C,3589600,39.2,40.8,10,100,0.20500000000000002,0.25,0.01,1.0,-0.02,100044,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100045,2020-02-07,2020-01-08,P,2938910,41.16,42.84,10,100,0.20500000000000002,-0.25,0.01,1.0,-0.02,100045,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100046,2020-02-07,2020-01-08,P,3089590,36.26,37.74,10,100,0.2025,-0.375,0.01,1.0,-0.02,100046,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100047,2020-02-07,2020-01-08,P,3248000,31.36,32.64,10,100,0.2,-0.5,0.01,1.0,-0.02,100047,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100048,2020-02-07,2020-01-08,P,3414530,36.26,37.74,10,100,0.2025,-0.625,0.01,1.0,-0.02,100048,100,0,3248,,SPX,,SPX,1,,,E,0,0
108105,2020-01-08,SYN100049,2020-02-07,2020-01-08,P,3589600,41.16,42.84,10,100,0.20500000000000002,-0.75,0.01,1.0,-0.02,100049,100,0,3248,,SPX,,SPX,1,,,E,0,0
